id,name,sanskrit_name,description,dosage,preparation,usage_instructions
11,Chamomile and Tagar Sleep Tea,Vata-Shamaka Nidra Kwath,"A calming herbal tea combining Tagar (Indian Valerian), Valerian root, and Chamomile to pacify Vata in the nervous system, relieve anxiety, and induce restful sleep.",Once at bedtime,"Mix equal parts Tagar powder, Valerian root powder, and Chamomile. Use 1/4 tsp of the blend per cup. Steep in hot water for 5-7 minutes and strain.",Drink warm just before going to bed. Do not add cold milk. Can be sweetened with a small amount of honey. Do not operate machinery after consuming. Use for 2-4 weeks at a time.
12,Punarnava-Hawthorn Herb Tea for Hypertension,Raktagata Vata Hara Kwath,"A herbal formula combining Punarnava, Passion flower, and Hawthorn berry to regulate blood pressure, reduce fluid retention, and calm the nervous system naturally.",After lunch and dinner (2 times daily),"Mix 1 part Punarnava, 1 part Passion flower, and 2 parts Hawthorn berry. Steep 1/2 tsp of this mixture in 1 cup hot water for 5-10 minutes. Strain.",Drink warm after meals. Do not replace prescribed blood pressure medications without medical supervision. Inform your doctor if using alongside BP medications. Monitor blood pressure regularly.
13,Trikatu-Chitrak Digestive Formula,Agni Deepana Churna,"A potent Ayurvedic herbal blend of Trikatu (three pungent spices), Chitrak (lead wort), and Kutki (Picrorhiza) that kindles digestive fire (Agni), clears Ama, and relieves chronic indigestion.",1/4 tsp before each meal,"Mix 1 part Trikatu, 2 parts Chitrak, and 1 part Kutki powders thoroughly. Store in an airtight container.","Take 1/4 tsp with a little honey and fresh ginger juice before meals. If fresh ginger is unavailable, use honey alone. Begin with a smaller dose (1/8 tsp) if you are sensitive to spicy herbs."
14,Neem Oil Scalp Massage for Dandruff,Nimba Taila Shiro Abhyanga,"Daily scalp massage with Neem oil in a Sesame oil base to improve circulation to the scalp, provide protein-like nourishment to skin, and treat fungal infection causing dandruff.","Daily for 2-4 weeks, then 3-4 times per week",Mix 1 part pure Neem oil with 3-4 parts Sesame oil to dilute (Neem oil is strong). Warm the blend slightly.,Apply to scalp and massage gently in circular motions for 5-10 minutes. Leave in for 30-60 minutes or overnight. Wash off with a mild or Neem-based shampoo. Follow with egg-white and lime juice treatment twice weekly for best results.
15,Brahmi Oil Nighttime Massage for Insomnia,Brahmi Taila Paada-Shiro Abhyanga,A deeply calming Ayurvedic nighttime ritual applying Brahmi oil (or Sesame oil) to the soles of the feet and scalp to pacify Vata dosha in the nervous system and promote deep restful sleep.,Every night before sleep,"Use ready-made Brahmi oil, Jatamamsi oil, or plain Sesame oil. Warm slightly by placing the bottle in warm water for a few minutes.",Apply oil generously to the soles of both feet and gently massage for 3-5 minutes. Then apply to the scalp and massage in circular motions for 3-5 minutes. Wear socks to protect bed linen. Practice So-Hum meditation after the massage for 5-10 minutes. Results improve progressively over 1-2 weeks.
16,Licorice Root Tea for Asthma,Yashti Madhu Kwath,Licorice root (Yashti Madhu) boiled in water immediately stops bronchial spasm by pacifying aggravated Kapha in the respiratory tract. It is the primary emergency remedy for asthmatic wheezing in Ayurveda.,Sip every 5-10 minutes during acute attack; 2-3 times daily for prevention,Boil 1 tsp licorice root in 1 cup water for 2 minutes. Just before drinking add 5-10 drops Mahanarayan oil or 1/2 tsp plain ghee.,Sip slowly one teaspoon at a time every 5-10 minutes during an asthma attack. For prevention drink twice daily. Individuals with hypertension should not use regularly.
17,Pomegranate and Beet Juice for Anemia,Dadima-Palandu Swarasa,Iron-rich blood-building juice combining pomegranate and beet with carrot. Ayurveda classifies these as Rakta Dhatu (blood tissue) builders that increase iron absorption and correct Vata-type anemia from within.,"1 cup twice daily, morning and afternoon",Juice equal parts fresh beet and carrot. Add pomegranate juice. Add a pinch of cumin powder for maximum absorption. Mix well.,Drink on empty stomach in the morning and afternoon. Do not take after sunset. Continue for 2-3 months for best results. Can be combined with Tikta Ghrita therapy.
18,Jatamamsi-Musta-Tagar Tea for Hypertension,Raktagata Vata Hara Kwath,"A classical Ayurvedic herbal formula of Jatamamsi (2 parts), Musta (2 parts), and Tagar (1 part) that calms the nervous system, reduces Vata-driven vessel constriction, and regulates blood pressure naturally.","1/2 tsp steeped in 1 cup hot water, after lunch and dinner (2 times daily)","Mix Jatamamsi 2 parts, Musta 2 parts, Tagar 1 part. Steep 1/2 tsp of this mixture in 1 cup hot water for 5-10 minutes. Strain well.",Drink warm after meals. Do not replace prescribed blood pressure medications without medical supervision. Use alongside doctor-monitored care. Monitor BP regularly.
19,Onion Juice and Garlic for Indigestion,Palandu-Lasuna Yoga,"Fresh onion juice with honey and black pepper or fresh garlic with salt and baking soda ? immediate Ayurvedic remedies to kindle Agni (digestive fire), relieve acute indigestion, and eliminate Ama (toxins) from the GI tract.",Once during acute indigestion episode; or garlic remedy before meals,"Option 1: Take 1/4 cup fresh onion juice with 1/2 tsp honey and 1/2 tsp black pepper. Option 2: Chop 1 clove fresh garlic, add pinch of salt and pinch of baking soda, eat it.",Take at the onset of indigestion symptoms. For chronic indigestion use the garlic remedy before each meal. Follow with a cup of warm water. Do not use if allergic to raw onion or garlic.
20,Egg White and Lime Hair Treatment,Andaja-Nimbuka Shiro Lepa,A two-ingredient topical scalp treatment from Ayurveda where egg white provides the protein lacking in dry flaky scalp while fresh lime juice acts as antiseptic and circulation stimulant. Together they eliminate dandruff at its root cause.,2-3 times per week,Beat 2 egg whites with fresh juice of 1 lime. Mix until uniform. Apply mixture thoroughly to scalp and hair.,Leave on scalp for 30 minutes. Wash off with neem soap or mild herbal shampoo. The egg white provides protein nourishment to scalp; dandruff will diminish within 2 weeks of consistent use. Avoid eyes.
21,Sandalwood-Turmeric Paste for Acne,Chandana-Haridra Lepa,"A classical Pitta-cooling topical paste combining sandalwood powder (anti-inflammatory, cooling) and turmeric (antibacterial, anti-Pitta) in goat milk base. Directly neutralizes the excess Pitta under skin causing pimples and breakouts.",Apply daily at bedtime for 2-4 weeks,Mix 1/4 tsp turmeric powder with 1/2 tsp sandalwood powder. Add sufficient goat milk (or plain water) to make a smooth paste.,Apply paste to affected areas of face and skin. Leave on for 20-30 minutes then rinse off. Note: face will appear yellow for up to 5 days ? this is normal and the formula is working. Do not use if allergic to any ingredient.
22,Cilantro Juice for Rashes and Hives,Dhanyaka Swarasa,"Fresh cilantro (Dhanyaka) juice is an immediate Ayurvedic antihistamine and Pitta-cooling remedy for skin rashes, hives, and urticaria. It works from both inside (drunk) and outside (applied as pulp) simultaneously.","2 tsp of juice, 3 times daily; apply pulp topically as needed",Wash a handful of fresh cilantro leaves. Place in blender with 1/3 cup water. Blend thoroughly and strain through fine cloth. Drink the juice and reserve the pulp for topical application.,Drink 2 tsp of juice 3 times daily. Apply the remaining pulp directly on rash or hives for immediate relief. Both internal and external use together gives best results. Store prepared juice refrigerated for maximum 24 hours.
23,Sesame Oil Body Massage for Dry Skin,Tila Taila Abhyanga,"Daily full-body warm sesame oil massage (Abhyanga) is the primary Ayurvedic treatment for dry skin. The oil penetrates deep into tissues, lubricates from within, pacifies Vata, and restores natural skin moisture far more effectively than topical moisturizers.",Daily before morning bath,"Warm 2-3 tbsp sesame oil (Vata type), sunflower or coconut oil (Pitta type), or corn oil (Kapha type) by placing the bottle in warm water for 5 minutes.","Apply warm oil all over body from head to toes. Massage gently in circular motions on joints, long strokes on limbs. Leave on for 10-15 minutes. Then bathe with warm water. Do daily for 1 month then 3-4 times/week for maintenance."
24,Neem-Manjistha Blood Purifier for Eczema,Nimba-Manjistha Raktashodhana,"Classical Ayurvedic blood-purifying herbal combination of Neem (antibacterial, anti-Pitta) and Manjistha (blood purifier, anti-inflammatory) that treats eczema and Pitta-type skin disorders by purifying the blood from within.","1/2 tsp 3 times daily with warm water, after meals",Mix equal parts Neem powder and Manjistha powder thoroughly. Store in airtight container.,"Take 1/2 tsp of mixture 3 times daily after meals, washed down with warm water. Continue for 1-2 months for full benefit. Can also apply Neem oil or Tikta Ghrita externally on affected skin simultaneously for faster results."
25,Tea Tree and Aloe Vera Foot Treatment,Nimba-Kumari Padalepa,"A two-step topical Ayurvedic treatment for Athlete's Foot combining tea tree oil (natural antiseptic and antifungal) with aloe vera gel and turmeric (anti-Kapha, anti-Pitta, anti-fungal). Eliminates fungal infection between toes.",Twice daily for minimum 2 weeks,Step 1: Clean affected area with tea tree oil on cotton swab (dilute 10-20 drops in 1 oz sesame oil to avoid burning). Step 2: Mix 1 tsp aloe vera gel with 1/2 tsp turmeric powder into a paste.,"Apply tea tree oil first, then cover with aloe-turmeric paste. Wear old cotton socks to prevent yellow staining from turmeric. Do twice daily for at least 2 weeks even after symptoms disappear to prevent recurrence. Keep feet dry between applications."
26,Bhringaraj-Brahmi Scalp Oil for Hair Loss,Bhringaraja-Brahmi Taila,"Classical Ayurvedic medicated oil combining Bhringaraj (king of hair herbs, cools scalp Pitta) and Brahmi (nourishes hair follicles, improves scalp circulation) to prevent and reverse hair loss by addressing the root cause at the follicular level.",Nightly before sleep,Obtain ready-made Bhringaraj oil or Brahmi oil from an Ayurvedic pharmacy. Warm slightly by placing bottle in warm water for 3-5 minutes.,Apply generously to scalp and massage in circular motions for 5-10 minutes. This improves blood circulation at the hair root bringing nutrients to support growth. Wear a loose cap or cover pillow with towel. Wash hair every 2-3 days. Continue for 3 months.
27,Trikatu Honey Formula for Obesity,Trikatu Madhu Yoga,"Trikatu (three pungent spices: ginger, black pepper, pippali) combined with honey is a classical Ayurvedic formula for obesity. It kindles cellular metabolic fire (Dhatu Agni), burns Ama (metabolic toxins), and reduces excess Kapha-driven fat accumulation.","1/2 tsp with 1 tsp honey, 2-3 times daily before meals","Use ready-made Trikatu powder or mix equal parts dried ginger powder, black pepper powder, and pippali powder. Mix 1/2 tsp with 1 tsp raw honey just before taking.",Take 30 minutes before meals on empty stomach. Drink warm water after. Also useful: early each morning drink 1 cup hot water with 1 tsp honey and juice of half lime on empty stomach. Do not take if you have ulcers or Pitta disorders.
28,Eucalyptus Steam Inhalation for Sinus,Nilgiri Taila Nasya Steam,"Medicated steam inhalation using eucalyptus oil is the most effective Ayurvedic Kapha-clearing treatment for sinus congestion. The hot medicated steam enters the sinus cavities, loosens and drains mucus, and relieves pressure, pain, and congestion immediately.",2-3 times daily during acute sinus congestion; once daily for prevention,Heat 1 cup water until steaming. Add 3-5 drops eucalyptus oil. Alternatively boil 1 inch fresh ginger in 1 cup water. Remove from heat.,"Cover head with large towel, lean over pot, close eyes, inhale steam deeply for 5-10 minutes. The steam will loosen and drain sinus mucus. Follow with saline nasal wash (1/2 tsp salt in 1/2 cup lukewarm water, 5 drops per nostril). Do not burn yourself with steam."
29,Sitopaladi Churna for Allergies and Cough,Sitopaladi Churna,"Sitopaladi is a classical Ayurvedic polyherbal powder formula that is the primary treatment for Kapha-type respiratory conditions including productive cough, allergies, sinus congestion, and bronchitis. It clears Kapha from lungs and upper respiratory tract.","1/4 tsp with 1 tsp honey, 3 times daily",Obtain ready-made Sitopaladi Churna from an Ayurvedic pharmacy. Mix 1/4 tsp with 1 tsp raw honey to form a paste just before taking.,"Lick the honey-herb paste slowly before swallowing. Do not wash down immediately ? let it coat the throat for maximum benefit. Take 3 times daily: morning, afternoon, and evening. For infection-related cough mix with Maha Sudarshan Churna equally. Continue for 1-2 weeks."
30,Turmeric Salt Water Gargle for Sore Throat,Haridra-Lavana Gandoosha,Gargling with warm salt water and turmeric is the most effective and immediate Ayurvedic remedy for sore throat. Turmeric is antibacterial and anti-inflammatory; salt reduces swelling and kills pathogens. Together they quickly eliminate the infection and reduce pain.,Morning and evening; or up to 4 times daily during acute infection,Heat 1 cup water until hot but comfortable. Add 1/2 tsp turmeric powder and 1/2 tsp salt. Stir to dissolve completely. Test temperature on wrist.,Gargle for 30-60 seconds then spit out. Do not swallow. Repeat 2-3 times per session. Also drink 1 cup hot milk boiled with 1/2 tsp turmeric twice daily. If sore throat persists beyond a few days see a doctor.
31,Castor Oil Pack for Gallstones,Eranda Taila Pradeha,"Warm castor oil applied as a compress directly over the gallbladder area is the primary Ayurvedic pain-relief treatment for gallstones. Castor oil produces sustained gentle heat that relaxes the gallbladder, reduces spasm, and dissolves Kapha-type crystallization.",During pain episodes; 1-2 times daily for prevention and dissolution,Warm 3 tbsp castor oil gently. Pour onto a soft cloth or thick handkerchief and spread evenly. Test temperature for comfort.,Place warm oil pack on right side of abdomen above navel and below ribs (over gallbladder area). Place hot water bottle on top to maintain warmth. Leave on for 30-45 minutes. Lie still and rest. Do not do this if gallstone is large ? consult physician first.
32,Ashwagandha-Shatavari Tea for Chronic Fatigue,Ashwagandha-Shatavari Kwath,"Ashwagandha (Indian Ginseng) and Shatavari are the two most powerful Ayurvedic Rasayana (rejuvenating) herbs for chronic fatigue. They strengthen the liver, adrenal glands, and immune system, rebuild Ojas (vital energy), and restore depleted stamina.","1 cup twice daily, morning and evening",Mix Ashwagandha and Shatavari in equal proportions. Boil 1 tsp of mixture in 1 cup water or milk for 2-3 minutes. Strain. Add 1 tsp honey when cooled slightly.,Drink warm twice daily on empty stomach or before meals. For Epstein-Barr related chronic fatigue add Bala and Vidari in equal parts to the formula. Continue for minimum 2 months. Also take 1 tsp shatavari ghee with the tea for deeper nourishment.
33,Brahmi Milk for Memory Problems,Brahmi Ksheera,"Brahmi (Bacopa monnieri) boiled in warm milk is the foremost Ayurvedic Medhya (brain tonic) remedy for memory problems. Brahmi nourishes the brain nerve cells, dilates cerebral blood vessels, improves recall, and calms the mind simultaneously.",Once daily at bedtime,Boil 1/2 tsp Brahmi powder in 1 cup fresh milk for 2 minutes. Remove from heat. Add a pinch of saffron for increased benefit. Cool to comfortable temperature.,Drink warm at bedtime every night. Continue for 1 month ? memory improvement will be remarkable. Can be continued indefinitely. Also use Brahmi Ghee Nasya (5 drops warm Brahmi ghee in each nostril) in the mornings for additional benefit.
34,Cumin-Coriander-Fennel Tea for UTI,Jeeraka-Dhanyaka-Shatapushpa Kwath,"The classical Ayurvedic cumin-coriander-fennel (CCF) tea is the primary treatment for Urinary Tract Infection (Cystitis). All three herbs are cooling, diuretic, and anti-Pitta ? they flush the urinary tract, reduce burning inflammation, and restore normal urinary flow.",3 times daily; continue for 5-7 days,"Mix equal amounts of cumin seeds, coriander seeds, and fennel seeds. Use 1/4 tsp of each per cup of water. Boil in water for 3-5 minutes. Strain well.",Drink warm 3 times daily. Also increase overall fluid intake with plain warm water. Add 1/2 tsp Punarnava powder to each cup for enhanced effect. Do not hold urine. If symptoms worsen or blood appears in urine see doctor immediately.
35,Ginger-Cinnamon-Licorice Tea for Sore Throat,Ardraka-Twak-Yashti Madhu Kwath,"A triple-herb soothing tea combining ginger (anti-inflammatory, warming), cinnamon (antimicrobial, Kapha-reducing), and licorice (demulcent, throat-coating) that provides immediate and lasting relief for sore throat inflammation and irritation.",2-3 times daily until symptoms resolve,"Mix ginger 2 parts, cinnamon 2 parts, licorice root 3 parts. Steep 1 tsp of the herbal mixture in 1 cup hot water for 5-10 minutes. Strain well. Add 1 tsp honey.","Drink warm slowly, allowing the tea to coat the throat. Do not gulp. Take up to 3 times daily. Also combine with turmeric-salt gargle for best results. Hot milk with 1/2 tsp turmeric boiled in it is a useful companion remedy."
