id,name,sanskrit_name,description,dosha_type,diet_plan,foods_to_take,foods_to_avoid,lifestyle_routine,recommended_exercises
11,Indigestion,Ajirna,"Weak digestive fire (Agni) leading to incomplete digestion, bloating, gas, heaviness, and discomfort. Usually caused by overeating, incompatible foods, irregular eating habits, and emotional stress.",Vata-Pitta,"Light, warm, freshly cooked foods; follow disciplined meal timings.","Ginger tea, onion juice with honey and black pepper, pineapple juice with ginger and black pepper, lime juice in warm water with baking soda (acute), lassi (diluted yogurt with cumin and ginger), bay leaf tea","Overeating, cold and iced drinks (especially during meals), leftover food, fried foods, heavy meats, cheese, raw onions, beans, incompatible food combinations (e.g., milk with fish)","Eat only when genuinely hungry; fill stomach 1/3 food, 1/3 water, 1/3 empty; chew food thoroughly; no emotional eating; 2-3 meals daily without snacking; short walk after meals; practice Nauli; occasional fasting","Leg Lifts, Peacock pose, Nauli (abdominal churning), Breath of Fire (Kapalabhati) Pranayama, 10-minute post-meal walk"
12,Insomnia,Anidra,"Inability to fall or stay asleep, primarily a Vata disorder affecting the nervous system. Often linked to stress, anxiety, constipation, depression, or overstimulation of the senses.",Vata,"Warm, grounding, and nourishing Vata-pacifying foods, especially at dinner.","Warm milk with nutmeg and cardamom at bedtime, cherries (10-20 daily), tomato juice with natural sugar and nutmeg (late afternoon), chamomile tea at bedtime, garlic milk, warm almond milk","Stimulants (coffee, tea, cola), alcohol, spicy foods at night, heavy dinner, excessive screen time before bed, cold foods and drinks in the evening",Warm sesame oil (or Brahmi oil) massage on scalp and soles of feet before bed; apply nutmeg-ghee paste around eyes and forehead; establish regular sleep schedule; reduce screen time after sunset; practice evening meditation; warm bath before bed,"So-Hum Meditation, Shavasana, Yoga Nidra, gentle Anulom Vilom Pranayama before bed, gentle evening walk"
13,Kapha-Type Anemia,Kapha Pandu,"Anemia presenting with edema (swelling), cold and clammy skin with a shiny appearance due to stretched skin. Indicates Kapha dominance with fluid retention and sluggish metabolism.",Kapha,"Light, dry, warm, iron-rich foods; follow Kapha-reducing diet.","Beets, carrots, pomegranate juice, cranberry juice, figs, raisins, spinach and other green leafy vegetables, spiced warm teas, honey","Dairy products, cold food and drink, heavy meats, wheat, sweets (except honey), watermelon, cucumber, excess salt",Take Punarnava-Gokshura-Kutki herbal mixture twice daily with warm water or honey; eat yogurt with turmeric only at noon; avoid day sleeping; regular physical activity to combat sluggishness,"Vigorous yoga, Sun Salutation (12 cycles), Kapalabhati Pranayama, brisk walking, Surya Namaskar"
14,Kapha-Type Arthritis,Kapha Sandhivata,"Joint stiffness with swelling and cold, clammy sensation. Pain is greater in the morning and diminishes with gentle movement. Joints may fill with fluid (effusion).",Kapha,"Light, dry, warm foods; follow Kapha-reducing diet.","Ginger tea, warm spiced soups, light grains, honey, pungent spices (black pepper, ginger, turmeric), bitter vegetables","All dairy products, cold drinks, heavy oily foods, sweets, wheat, meat, excess salt, cold salads","Apply Vacha (calamus root) paste on affected joint; for effusion use Punarnava-Ginger powder paste; take Punarnava Guggulu tablets (1 tablet, 3x/day); keep joints moving gently; avoid cold and damp environments","Tree pose, Triangle pose, Forward Bend, Spinal Twist, Surya Namaskar, Kapalabhati Pranayama, gentle walking"
15,Dandruff,Darunaka,"Dry, flaky scalp condition caused by insufficient blood supply to the scalp, excess Vata dosha, Vitamin B-6 deficiency, or fungal infection of the scalp.",Vata,"Nourishing Vata-pacifying foods rich in B vitamins, zinc, and healthy fats.","Sesame seeds, flaxseeds, coconut oil (in food), green leafy vegetables, warm milk, almonds, figs, warm soups, ginger tea","Dry and processed foods, excess caffeine, cold drinks, refined flour, sugary foods, excessive spicy food",Daily scalp massage with Neem oil (in sesame oil base) to improve circulation; apply egg-white with lime juice to hair for 30 minutes then wash with neem soap; avoid harsh chemical shampoos; keep scalp moisturized; manage stress,"Inverted yoga poses (Shoulder Stand, Headstand with supervision), Anulom Vilom Pranayama, Sun Salutation, Scalp massage"
16,Acne,Yuvan Pidika,"Acne is the result of high Pitta moving under the skin and breaking out in pimples. The possible Pitta-provoking causes are numerous — emotional stress, premenstrual hormonal changes, exposure to chemicals or too much sunlight, and bacterial infection. Because acne is a Pitta condition, the root cause is excess heat in the body that rises to the surface of the skin.",Pitta,"Follow the Pitta-pacifying diet; favor bland, light foods.","Rice, oatmeal, applesauce, coconut water, cucumber, sweet fruits, aloe vera juice (½ cup twice daily), cumin-coriander-fennel tea after meals","Spicy and fermented foods, salt, fried foods, citrus fruits, chocolate, alcohol, refined sugar, sour fruits","Apply sandalwood-turmeric paste in goat's milk on face (leaves yellow tint up to 5 days); wash face daily with chickpea flour paste; apply melon pulp on skin at bedtime and leave overnight; drink ½ cup aloe vera juice twice daily; take Amalaki ½–1 tsp at bedtime to keep colon clean; avoid chemicals, excess sunlight, and emotional stress; avoid looking in the mirror and feeling bad about the acne; practice visualization — close eyes and visualize skin clearing up",Lion Pose; Moon Salutation; Left Nostril breathing (Moon Breath) for 5–10 minutes daily to reduce Pitta; rub warm palms over face for 2 minutes to relax facial muscles and increase blood supply
17,Rashes and Hives,Sheetapitta,"Skin rashes and hives indicate excess Pitta or heat in the body. The Ayurvedic approach is to provide a cooling effect from both the inside and outside. Whatever the cause of the rash — whether allergies, an insect bite, or something else — the underlying mechanism is aggravated Pitta penetrating through the capillaries and creating heat-based skin reactions.",Pitta,Cooling Pitta-pacifying diet; blood-purifying foods.,"Coconut water, melon, coriander-cumin tea in hot milk (once or twice daily), cilantro juice, pomegranate juice, sweet fruits","Hot spicy foods, fermented foods, sour citrus fruits, alcohol, red meat, hot beverages","Apply fresh cilantro juice immediately on skin; apply coconut water directly on rash; rub melon rind (white part of watermelon) on affected skin; apply sandalwood-turmeric paste in goat's milk on affected area; avoid all synthetic fibers (polyester, rayon) — wear only cotton clothing; avoid allergens; apply neem oil on exposed skin to minimize allergen contact; avoid excess sun exposure",Moon Salutation; Shitali Pranayama (cooling breath); Shavasana; avoid Sun Salutation and heating practices
18,Dry Skin,Ruksha Tvak,"Dry skin can have several causes. It may be due to a lack of sebaceous (oily) secretions, insufficient sweating, an excess of hot sharp Pitta, or too much Vata. External causes include sun, wind, hot dry air, excess washing, and excess use of soap. Dryness of the skin usually comes from within rather than from external causes, which is why moisturizing creams provide only temporary relief.",Vata-Pitta,"Oily, nourishing, Vata-pacifying diet; adequate healthy fats internally.","Sesame oil in cooking, ghee, warm milk, almonds, coconut, avocado, warm soups, sweet fruits, root vegetables","Dry and processed foods, excess caffeine, cold drinks, refined flour, excessive raw vegetables, alcohol","Apply sesame oil (Vata type), sunflower or coconut oil (Pitta type), or corn oil (Kapha type) on skin daily; perform oil enema for internal lubrication — Week 1: daily, Week 2: every 2 days, Week 3: every 3 days, Week 4: once; apply fresh cherry pulp mask on face at night for 15 minutes then rinse; avoid harsh soaps and excess washing; protect skin from sun, wind, and hot dry air; treat from within — external creams give only temporary relief",Gentle yoga; Anulom Vilom Pranayama; gentle walking; avoid excessive sweating exercises that dehydrate the skin further
19,Eczema,Vicharchika,"Eczema is a Pitta-type allergic skin disorder. Pitta dosha is already present under the skin, and when the person comes in contact with an allergen such as chemicals, ragweed, or synthetic fibers, the Pitta penetrates through the capillaries due to its hot and sharp qualities and creates a rash, itching, hives, urticaria, or allergic dermatitis. Blood purification is the core of treatment.",Pitta,Cooling anti-inflammatory Pitta-pacifying diet; blood-purifying foods.,"Coconut water, aloe vera juice, cucumber, coriander tea, bitter vegetables, cooling sweet fruits, pomegranate juice, cilantro juice","Hot spicy foods, fermented foods, sour citrus, alcohol, red meat, dairy, synthetic fiber clothing, nightshade vegetables",Apply neem oil or Tikta Ghrita (bitter ghee) directly on affected skin; take Manjistha-Neem blood-purifying formula ½ tsp 3x/day with warm water; avoid scratching; wear only cotton clothing and avoid synthetic fibers; consider blood donation (Rakta Moksha) before summer season to reduce systemic Pitta; avoid allergens; apply neem oil on exposed skin as protective barrier,Moon Salutation; Shitali Pranayama (cooling breath); cooling Pranayama; Alternate Nostril breathing; avoid heating and strenuous exercise
20,Athlete's Foot,Padabhaga Shotha,"People with Kapha-Pitta constitutions who sweat a lot are most prone to getting athlete's foot. This is an itchy, inflammatory fungal condition between the toes, often accompanied by sweating on the soles of the feet. The combination of excess moisture (Kapha) and heat (Pitta) creates the ideal environment for fungal growth.",Kapha-Pitta,Kapha-Pitta-pacifying diet; reduce sugar and dairy which feed fungal growth.,"Neem tea, bitter vegetables, garlic, ginger, coconut water, light foods, pomegranate juice, warm water","Refined sugar, dairy products, fermented foods, alcohol, yeast-containing foods, refined flour, cold heavy foods","Clean affected area with tea tree oil on cotton swab; apply aloe vera gel + ½ tsp turmeric twice daily for at least 2 weeks (will stain yellow — use old socks); alternatively wash feet with neem soap, dry thoroughly with hair dryer, then apply neem oil (¼ tsp) mixed with 10 drops tea tree oil; keep feet completely dry after washing; wear only cotton socks; change socks daily; expose feet to fresh air and sunlight daily; avoid fermented food and sugar",Foot yoga exercises; toe spreading; walking on grass (when infection has cleared); Anulom Vilom Pranayama; avoid activities causing excessive foot sweating during treatment
21,Baldness and Hair Loss,Khalitya,"Hair loss is a subtle metabolic disorder. It may be related to disease, fungal infection on the scalp, or hormonal imbalance. A deficiency of calcium, magnesium, and zinc may affect hair nourishment enough to cause hair loss. According to Ayurveda, early hair loss is often related to body type and dosha balance. Pitta individuals are more likely to lose hair early, as excess Pitta in the sebaceous gland at the root of the hair, or folliculitis (inflammation of hair follicles), makes the person start losing hair.",Pitta,"Pitta-pacifying hair-nourishing diet rich in calcium, magnesium, and zinc.","White sesame seeds (handful daily — 1200mg calcium), coconut, cooked apples, cabbage, white radish, daikon, dairy (if well digested), aloe vera juice (⅓ cup 3x/day for 3 months)","Hot spicy foods, fermented foods, excess alcohol, tobacco, excessive sugar, sour foods, excess salt, red meat","Massage scalp at bedtime with Brahmi oil or Bhringaraj oil to improve circulation at hair roots; rub coconut oil on scalp and soles of feet at bedtime (wear old socks, cover pillow with towel); massage hair with Vitamin E oil; take mineral supplements at bedtime (calcium 1200mg, magnesium 600mg, zinc 60mg); massage neck and shoulder muscles before showering to relieve stress contributing to hair loss; do simple neck exercises (turn head left 3x, right 3x, up 3x, down 3x, roll in circles 3x each direction); drink Jatamamsi-Brahmi Antistress Tea 2–3x/day; meditate regularly for stress reduction using Empty Bowl meditation",Shoulder Stand; Camel pose; Cobra pose; Cow pose — all help relieve neck tension and improve scalp circulation; Anulom Vilom Pranayama; Simhasana (Lion pose)
22,Diarrhea,Atisara,"Generally, diarrhea occurs when Agni (the digestive fire) becomes weak. As a result, absorption and assimilation become minimal, and undigested foodstuff gets eliminated as a liquid watery stool. To relieve diarrhea, Ayurveda aims to strengthen Agni and pacify whichever dosha — generally Pitta — is aggravated. Indigestion, nervousness, or eating wrong food combinations can also create diarrhea.",Pitta,Pitta-pacifying diet; easily digestible binding foods; avoid spicy and fermented foods immediately.,"Cooked apple with ghee, cardamom and nutmeg; ripe banana with ghee; cooked basmati rice with yogurt and ghee; ginger powder with natural sugar; yogurt blended with grated ginger; cranberry juice or pomegranate juice","Spicy foods, fermented foods, oily food, raw vegetables, excess fruit juice, cold drinks, alcohol, dairy in excess",Immediately follow Pitta-pacifying diet; avoid dehydration — sip sugar-lime-salt water throughout the day (1 tsp sugar + 1 tsp lime juice + pinch salt per pint of water); take psyllium husks (sat isabgol) 1 tsp mixed into cup of fresh yogurt at bedtime for Pitta diarrhea; complete rest; do not travel or exert; consult doctor if diarrhea continues beyond 3 days; for babies — give cooked apple with ghee; feed whey to restore colon flora,Complete rest during acute diarrhea; Shavasana; Anulom Vilom Pranayama (gently); resume light yoga only after full recovery; no vigorous exercise until stools normalize
23,Gas and Flatulence,Adhmana,"Every person at some time gets gases and disturbances in the colon. The colon is the main seat of Vata dosha, derived from ether and air. If Vata increases in the colon due to eating Vata-aggravating foods, cold weather, anxiety, or insomnia, gases may build up. Also, whenever we eat anything we swallow a small amount of air which increases Vata, and any food undergoes slight fermentation producing gases. These gases in the segmented colon create flatulence, distension, and discomfort.",Vata,"Light, easily digestible, warm cooked foods; proper food combining; avoid gas-producing combinations.","Ginger tea, warm water with asafetida (hing), cumin-fennel-celery seed mixture after meals, lemon juice with baking soda in cool water after meals, fresh ginger with lime juice after eating, light khichdi, buttermilk with cumin","Beans and legumes (without proper preparation), raw vegetables, cold drinks, carbonated beverages, fried foods, excess bread, incompatible food combinations","Take fresh ginger pulp with lime juice immediately after eating; take lemon juice + baking soda in cool water quickly after meals; chew roasted cumin-fennel-ajwan seeds ½–1 tsp after each meal with warm water; take charcoal tablets after lunch and dinner; take shankavati and lasunadivati herbal tablets at night for 5 days; take Triphala ½–1 tsp in hot water at bedtime; follow Vata-pacifying diet; avoid raw foods, cold food and drinks, most beans, and fermented foods; avoid eating when emotionally upset",Pavanamuktasana (Wind-Relieving pose); Leg Lift; gentle Spinal Twist; Nauli (abdominal churning); walking after meals
24,Hemorrhoids,Arsha,"According to Ayurveda, there are two basic kinds of hemorrhoids. Vata hemorrhoids are small, dry, and irregular in shape, rough and hard to the touch like raisins, and may be accompanied by fissures. Pitta-type hemorrhoids get red, irritated, and inflamed, look like purple grapes, are very painful to the touch, and bleed extensively when they burst. There are also Kapha hemorrhoids which look like green grapes, do not bleed, and are generally not problematic.",Vata-Pitta,High-fiber diet; Vata or Pitta-pacifying based on type; keep stools soft.,"Psyllium husks (sat isabgol) with warm milk, warm milk with ghee, ripe bananas, cooked apples, warm water, prunes, papaya, pomegranate juice, cranberry juice","Nightshades (potatoes, tomatoes, eggplant), spicy and fermented foods, fried foods, alcohol, red meat, hard stools-causing foods, refined flour",For Vata type — sit on warm castor oil or sesame oil pack; take Triphala Guggulu 1 tablet 3x/day; keep stools soft with psyllium husks + warm milk at night; take Triphala ½–1 tsp at bedtime; after each bowel movement wash anal area with warm water instead of dry paper then apply castor oil; for Pitta type — apply coconut oil locally to control inflammation; drink cranberry and pomegranate juice (50:50) between meals to stop bleeding; apply turmeric + ghee mixture on hemorrhoid at bedtime; all types — drink aloe vera juice ½ cup 3x/day; drink 1 cup carrot juice + 2 tsp cilantro juice twice daily on empty stomach; avoid vigorous cycling,Leg Lift; Chest-Knee pose; Mula Bandha (root lock); gentle walking; avoid vigorous cycling and heavy lifting
25,Colitis,Pittaja Grahani,"Colitis is caused when Vata pushes Pitta into the colon and inflammation occurs. Ulcerative colitis is characterized by diarrhea, mucus, and blood from the rectum. The basic line of treatment is to pacify Pitta, heal the ulcerated colon wall, and correct the underlying Vata-Pitta imbalance. The condition requires careful management and in serious cases needs medical supervision.",Pitta,"Strictly follow Pitta-pacifying diet; bland, cooling, easy-to-digest foods only.","Cooked basmati rice with ghee, mung dal soup, coconut water, pomegranate juice, aloe vera gel (1 tbsp twice daily), cooked apples, fresh yogurt (room temperature)","Spicy hot foods, fermented foods, fried foods, red meat, alcohol, raw vegetables, sour fruits, coffee, cold drinks, dairy in excess","Do healing enema using licorice root tea (1 tbsp licorice in 1 pint water + 2 tbsp ghee) once or twice a week; do soothing coconut oil enema (1 cup slightly warm oil, retain 5 minutes); eat cooked apple pulp with ghee and nutmeg; drink apple juice for burning sensation; strictly avoid hot spicy food, alcohol, and tobacco as these severely provoke Pitta; complete rest during flare-ups; medical supervision required for ulcerative colitis; Pitta-pacifying lifestyle strictly", Leg Lift (to strengthen colon wall — hold 45 degrees for a few seconds building to 1 minute); Chest-Knee pose; Plow pose; Locust pose; Elevated Lotus; draw abdomen gradually in and out to strengthen colon wall; no vigorous exercise during flare-ups
26,Irritable Bowel Syndrome,Grahani,"According to Ayurveda, irritable bowel syndrome is due to Vata pushing Pitta into the colon. This creates alternating constipation and diarrhea, cramping, bloating, and abdominal discomfort. The aggravated Vata causes spasms and irregularity in colon movement, while the pushed Pitta creates the inflammatory and irritating component of the condition.",Vata-Pitta,Bland easily digestible Vata-Pitta-pacifying foods; regular meal timing; no emotional eating.,"Well-cooked basmati rice, mung dal soup, cooked vegetables (not raw), warm water, buttermilk with roasted cumin, aloe vera juice, ginger tea","Raw vegetables, beans and legumes, cold foods and drinks, spicy and fermented foods, fried foods, red meat, alcohol, coffee, excess dairy, gluten in some cases",Take psyllium husks (sat isabgol) 1 tsp with ½ cup fresh yogurt 1 hour after dinner; boil flaxseed 1 tsp in water and drink at bedtime; in chronic cases introduce ½–1 cup warm sesame oil into rectum as enema (retain 5 minutes) once or twice a week to lubricate colon; maintain regular meal timing; avoid emotional eating; manage stress through meditation; identify and eliminate food triggers; avoid NSAID medications,Pavanamuktasana (Wind-Relieving pose); Nauli (abdominal churning); gentle Spinal Twist; Anulom Vilom Pranayama; stress reduction through So-Hum Meditation; gentle 20–30 minute daily walks
27,Heartburn and Acid Stomach,Amlapitta,Heartburn and acid stomach are conditions of excess Pitta in the stomach causing increased acid secretion that irritates the gastric mucous membrane. Strictly following the Pitta-pacifying diet is the primary treatment. These conditions are generally quite easy to control with Ayurvedic home remedies and do not always require strong medications.,Pitta,Strictly follow Pitta-pacifying diet; avoid all hot spicy food and overeating.,"Aloe vera gel (2 tbsp with pinch baking soda), papaya juice with organic sugar and cardamom, coconut water, cool sweet milk, mung dal soup, rice, banana, pomegranate juice","Hot spicy foods, pickles, fermented food, citrus fruits, alcohol, coffee, chocolate, tomatoes, sour fruit, excessive eating, lying down after meals","Take aloe vera gel 2 tbsp + pinch baking soda for immediate relief; use lime juice-sugar-baking soda effervescent drink in water; strictly follow Pitta-pacifying diet — no hot spicy food, no pickles, no fermented food, minimize citrus; avoid overeating; do not lie down immediately after eating; eat small frequent meals; if accompanied by chest pain radiating to neck, dizziness, or shortness of breath — seek immediate medical help (could be heart attack); practice Shitali Pranayama regularly",Shitali Pranayama (cooling breath — both cools Pitta and stimulates digestion); Shavasana after meals; gentle walking after meals; avoid vigorous exercise immediately after eating; avoid inverted poses
28,Gallstones,Pittashmari,"Gallstones are a Kapha disorder associated with underactive thyroid and slow metabolism. Gallstones begin with stagnation of bile in the gallbladder. The bile becomes thick, accumulates, coagulates, and slowly leads to stone formation. In general, gallstones are not painful while they remain in the gallbladder. Pain occurs only when the gallbladder tries to push the stones out through the bile duct.",Pitta-Kapha,Cooling light diet; strictly avoid fatty and spicy foods; regular meal schedule.,"Apple juice, warm water with lemon, light vegetarian soups, aloe vera juice, beet juice, pear juice, warm herbal teas, mung dal, pomegranate juice","Fatty and fried foods, red meat, egg yolks, high-fat dairy, alcohol, refined sugar, hot spicy foods, chocolate, skipping meals (concentrates bile)","Apply warm castor oil pack on abdomen above gallbladder during pain (right side, above navel below ribs) — use hot water bottle on top; for acute attack take Musta-Trikatu-Guduchi formula ¼ tsp 2–3x/day with honey; liver flush (ONLY with physician approval — small stones only): drink 8 oz olive oil + 4 oz lemon juice + chopped garlic + ¼ tsp cayenne at 6am on empty stomach, eat nothing till noon; take Triphala ½ tsp that night; avoid skipping meals which concentrates bile; maintain regular meal schedule; consult physician before any flushing treatment — dangerous if stone is large",Bow pose; Peacock pose; Spinal Twist; Narayan pose (lying on left side) — all help empty gallbladder and improve circulation preventing crystallization; Shitali Pranayama; avoid strenuous exercise during acute gallstone attack
